Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent,Volume_Score,Price_Change_Score,Relative_Strength_Score,Historical_Vol_Score,Options_Score,Short_Squeeze_Score,Composite_Score,Rank
PH,0.32,0.93,778520.0,2.63,3.06,1.83,0.0005,0.5533,2.89,0.01,65.60509554140127,75.15923566878982,54.14012738853503,67.19745222929936,49.49044585987261,39.29936305732484,61.69745222929936,38.0
CNC,0.64,0.68,16139250.0,2.08,3.23,3.59,0.0003,0.4089,1.1,0.06,19.10828025477707,78.343949044586,66.2420382165605,98.72611464968153,36.847133757961785,62.070063694267525,61.35668789808918,39.0
BKNG,0.27,0.93,210140.0,0.18,4.89,1.57,0.0043,1.2566,3.01,0.02,65.60509554140127,62.42038216560509,52.86624203821656,49.36305732484077,88.7579617834395,57.611464968152866,61.340764331210195,40.0
RMD,0.29,0.56,1120380.0,1.87,3.1,6.97,0.0002,0.3101,9.55,0.07,4.777070063694268,85.98726114649682,88.53503184713377,59.23566878980891,26.369426751592353,92.77070063694268,60.95859872611465,41.0
DECK,0.55,0.89,2764245.0,4.21,5.96,-6.63,0.001,0.4173,1.55,0.06,59.87261146496815,73.24840764331209,15.286624203821656,95.85987261146497,61.52866242038216,67.16560509554141,60.59235668789808,42.0
MA,0.22,0.9,2667170.0,1.19,2.97,5.41,0.0008,1.1718,1.93,0.01,61.146496815286625,73.88535031847134,82.16560509554141,21.97452229299363,68.12101910828025,27.707006369426754,60.012738853503194,43.0
ERIE,0.33,0.75,136415.0,1.82,-0.04,3.0,0.0009,1.0488,11.61,0.07,34.71337579617834,56.68789808917197,62.42038216560509,71.01910828025477,69.49044585987261,81.62420382165605,59.36305732484076,44.0
TJX,0.18,1.04,5535830.0,-0.71,2.96,8.33,0.0002,0.5533,2.45,0.01,76.75159235668791,69.42675159235668,92.35668789808918,5.095541401273886,32.77070063694267,34.10828025477707,58.63057324840764,45.0
META,0.36,0.78,13654200.0,2.12,-3.88,5.91,0.0106,0.5545,2.0,0.01,40.76433121019109,45.85987261146497,85.35031847133759,77.70700636942675,82.10191082802548,14.203821656050955,57.97452229299363,46.0
STE,0.23,0.69,542300.0,1.77,2.57,9.29,0.0004,7.1,1.52,0.01,21.656050955414013,87.89808917197452,94.26751592356688,28.02547770700637,62.61146496815286,22.611464968152866,57.88535031847133,47.0
BLK,0.27,0.91,478420.0,2.08,1.16,2.22,0.0012,1.5093,2.35,0.01,63.37579617834395,59.87261146496815,57.961783439490446,49.36305732484077,78.88535031847134,26.81528662420382,57.21019108280255,48.0
AXON,0.56,0.55,723140.0,0.36,1.59,4.25,0.0027,1.314,2.33,0.02,3.1847133757961785,57.324840764331206,70.70063694267516,96.81528662420382,85.50955414012738,42.51592356687898,56.433121019108285,49.0
FOXA,0.27,0.77,3717605.0,0.66,1.82,4.85,0.0,0.7347,5.04,0.08,38.853503184713375,60.509554140127385,77.70700636942675,49.36305732484077,19.203821656050955,85.63694267515923,56.328025477707016,50.0
